Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason
Index,Unmatched (Index),"Carandini, Marchesa Elisa",E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Caravaggio, Michelangelo da",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Carlisle, Earl of",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Carlone, Gianandrea",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Carpegna, Count",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Carpio, Marchese Del",E22 Man-Made Object,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Carpioni, Giulio",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Cars, Laurence",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Casanova de Seingalt, Jacques",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Castiglione, Giovanni Benedetto",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Castro, First and Second Wars of",E5 Event,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Castro, Jacomo di",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Catherine the Great of Russia,E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Cattaneo, Giovanni de",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Cavagna, Giampaolo",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Caylus, Comte de",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Celle, Georg Wilhelm Duke of",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Cerato, Abate",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Ceva, Cardinal",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chandos, Grey Brydges, 5th Lord",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chandos, James Brydges, 1st Duke of",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chantelou, Paul-Fréart de",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),"Chardin, Jean Baptiste Siméon",E21 Person,,,,C,Unmatched Index Entry
Index,Unmatched (Index),Charles I of England,E21 Person,,,,C,Unmatched Index Entry
