Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
Churches,/,sponsored,S. Lorenzo in Damaso,/,230
Churches,/,located_in,Rome,/,231
Churches,/,sponsored,S. Luigi dei Francesi,/,231
Churches,/,located_in,Rome,/,232
Churches,/,sponsored,S. Maria del Popolo,/,232
Churches,/,located_in,Rome,/,233
Churches,/,sponsored,S. Maria della Concezione,/,233
Churches,/,located_in,Rome,/,234
Churches,/,sponsored,S. Maria della Pace,/,234
Churches,/,located_in,Rome,/,235
Churches,/,sponsored,S. Maria della Vallicella (Chiesa Nuova),/,235
Churches,/,located_in,Rome,/,236
Churches,/,sponsored,S. Maria della Vittoria,/,236
Churches,/,located_in,Rome,/,237
Churches,/,sponsored,S. Maria Maggiore,/,237
Churches,/,located_in,Rome,/,238
Churches,/,sponsored,St Peter's,/,238
Churches,/,located_in,Rome,/,239
Churches,/,sponsored,St Peter's,/,239
Churches,/,created,altarpieces,/,239
Churches,/,located_in,Rome,/,240
Churches,/,sponsored,St Peter's,/,240
Churches,/,sponsored,Bernini Apostle's Chair,/,240
Churches,/,located_in,Rome,/,241
Churches,/,sponsored,St Peter's,/,241
Churches,/,sponsored,Bernini baldacchino,/,241
Churches,/,located_in,Rome,/,242
Churches,/,sponsored,St Peter's,/,242
Churches,/,created,tomb of Alexander VII,/,242
Churches,/,located_in,Rome,/,243
Churches,/,sponsored,St Peter's,/,243
Churches,/,sponsored,Urban VIII and,/,243
Churches,/,located_in,Rome,/,244
Churches,/,sponsored,S. Prassede,/,244
Churches,/,located_in,Rome,/,245
S. Salvatore in Lauro,/,located_in,Lauro,/,245
Churches,/,sponsored,S. Salvatore in Lauro,/,245
Churches,/,located_in,Rome,/,246
Churches,/,sponsored,S. Sebastiano,/,246
Churches,/,located_in,Rome,/,247
Churches,/,sponsored,S. Stefano Rotondo,/,247
Churches,/,located_in,Rome,/,248
Churches,/,sponsored,SS. Vincenzo ed Anastasio,/,248
Churches,/,located_in,Rome,/,249
Churches,/,sponsored,S. Vitale,/,249
Churches,/,located_in,Rome,/,250
Churches,/,sponsored,S. Vitale,/,250
Churches,/,sponsored,Richeôme on,/,250
Churches,/,located_in,Rovigo,/,251
Churches,/,sponsored,Tempio della Beata Vergine del Soccorso,/,251
Churches,/,located_in,Venice,/,252
Churches,/,sponsored,Madonna dell'Orto,/,252
Churches,/,located_in,Venice,/,253
Churches,/,sponsored,Pietà,/,253
Churches,/,located_in,Venice,/,254
Churches,/,sponsored,S. Aponal,/,254
Churches,/,located_in,Venice,/,255
Churches,/,sponsored,S. Basilio,/,255
Churches,/,located_in,Venice,/,256
Churches,/,sponsored,S. Canciano,/,256
Churches,/,located_in,Venice,/,257
Churches,/,sponsored,S. Giorgio Maggiore,/,257
Churches,/,located_in,Venice,/,258
Churches,/,sponsored,SS. Giovanni e Paolo,/,258
Churches,/,located_in,Venice,/,259
Churches,/,sponsored,S. Maria Assunta (Jesuit church),/,259
Churches,/,located_in,Venice,/,260
Churches,/,sponsored,S. Maria del Carmelo,/,260
Churches,/,located_in,Venice,/,261
Churches,/,sponsored,S. Maria del Giglio,/,261
Churches,/,located_in,Venice,/,262
Churches,/,sponsored,S. Maria del Rosario,/,262
Churches,/,located_in,Venice,/,263
Churches,/,sponsored,S. Maria di Nazareth (Scalzi church),/,263
Churches,/,located_in,Venice,/,264
Churches,/,sponsored,S. Matteo di Rialto,/,264
Churches,/,located_in,Venice,/,265
Churches,/,sponsored,S. Stae,/,265
Churches,/,located_in,Venice,/,266
Churches,/,sponsored,S. Tomà,/,266
Churches,/,located_in,Venice,/,267
Churches,/,sponsored,S. Vitale,/,267
Churches,/,located_in,Venice,/,268
Churches,/,sponsored,S. Zaccaria,/,268
Cibo palace,/,located_in,Rome,/,271
"Cignani, Carlo",/,collaborated_on,"S. Maria Maggiore, Bergamo",/,274
"Cignani, Carlo",/,sponsored,Bacchanal,/,275
"Cignani, Carlo",/,sponsored,cupola of Forli Cathedral,/,276
"Cignani, Carlo",/,sponsored,Jupiter giving Suck,/,277
"Cignani, Carlo",/,sponsored,St John the Baptist,/,278
"Cignaroli, Giambettino",/,created,work for Labia,/,280
work for Labia,/,intended_for,Labia,/,280
"Cigoli, Ludovico",/,sponsored,Deposition,/,282
share in McSwiny British Worthies,/,located_in,McSwiny British Worthies,/,284
"Cimaroli, Giovan Battista",/,sponsored,share in McSwiny British Worthies,/,284
share in McSwiny British Worthies,/,located_in,McSwiny British Worthies,/,285
"Cimaroli, Giovan Battista",/,sponsored,share in McSwiny British Worthies,/,285
"Cimaroli, Giovan Battista",/,sponsored,Lord Dorset,/,285
share in McSwiny British Worthies,/,located_in,McSwiny British Worthies,/,286
"Cimaroli, Giovan Battista",/,sponsored,share in McSwiny British Worthies,/,286
"Cimaroli, Giovan Battista",/,sponsored,Lord Somers,/,286
share in McSwiny British Worthies,/,located_in,McSwiny British Worthies,/,287
"Cimaroli, Giovan Battista",/,sponsored,share in McSwiny British Worthies,/,287
"Cimaroli, Giovan Battista",/,sponsored,Archbishop Tillotson,/,287
share in McSwiny British Worthies,/,located_in,McSwiny British Worthies,/,288
"Cimaroli, Giovan Battista",/,sponsored,share in McSwiny British Worthies,/,288
"Cimaroli, Giovan Battista",/,sponsored,William III,/,288
share in McSwiny British Worthies,/,located_in,McSwiny British Worthies,/,289
