Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Bernini, Gian Lorenzo",/,sponsored,Angels carrying Symbols of the Passion (on Ponte S. Angelo),/,148
"Bernini, Gian Lorenzo",/,sponsored,Apollo,/,149
"Bernini, Gian Lorenzo",/,sponsored,Daphne,/,149
"Bernini, Gian Lorenzo",/,created,baldacchino for St Peter's,/,150
baldacchino for St Peter's,/,intended_for,St Peter,/,150
"Bernini, Gian Lorenzo",/,created,bust of Archbishop of Pisa,/,151
"Bernini, Gian Lorenzo",/,created,bust of Charles I,/,152
"Bernini, Gian Lorenzo",/,created,bust of Louis XIV,/,153
"Bernini, Gian Lorenzo",/,created,bust of Richelieu,/,154
"Bernini, Gian Lorenzo",/,created,busts and statues of Urban VIII,/,155
"Bernini, Gian Lorenzo",/,created,busts and statues of Barberini family,/,155
"Bernini, Gian Lorenzo",/,sponsored,caricature of Cassiano dal Pozzo,/,156
"Bernini, Gian Lorenzo",/,sponsored,colonnade of St Peter's,/,157
"Bernini, Gian Lorenzo",/,sponsored,Constantine,/,158
"Bernini, Gian Lorenzo",/,sponsored,David,/,159
"Bernini, Gian Lorenzo",/,sponsored,decline in fortunes under Innocent X,/,160
"Bernini, Gian Lorenzo",/,created,designs for Louvre,/,161
designs for Louvre,/,intended_for,Louvre,/,161
"Bernini, Gian Lorenzo",/,sponsored,desire to be considered as Florentine,/,162
"Bernini, Gian Lorenzo",/,sponsored,earnings,/,163
"Bernini, Gian Lorenzo",/,sponsored,equestrian statue of Louis XIV,/,164
"Bernini, Gian Lorenzo",/,sponsored,Fountain of the Four Rivers,/,165
"Bernini, Gian Lorenzo",/,sponsored,Fountain of the Four Rivers,/,166
"Bernini, Gian Lorenzo",/,sponsored,small version in possession of Marchese del Carpio,/,166
"Bernini, Gian Lorenzo",/,sponsored,head,/,167
"Bernini, Gian Lorenzo",/,sponsored,medal,/,167
"Bernini, Gian Lorenzo",/,sponsored,bust of Paolo Giordano Orsini,/,167
"Bernini, Gian Lorenzo",/,sponsored,Duke of Bracciano,/,167
invitation by Mazarin to settle in France,/,located_in,France,/,168
"Bernini, Gian Lorenzo",/,sponsored,invitation by Mazarin to settle in France,/,168
"Bernini, Gian Lorenzo",/,sponsored,L'Inandazione del Tevere,/,169
"Bernini, Gian Lorenzo",/,sponsored,mystical and expressionist element in later work,/,170
"Bernini, Gian Lorenzo",/,sponsored,Neptune,/,171
"Bernini, Gian Lorenzo",/,sponsored,palace of Cardinal Flavio Chigi,/,172
"Bernini, Gian Lorenzo",/,sponsored,patronage by Urban VIII,/,173
"Bernini, Gian Lorenzo",/,sponsored,private theatre,/,174
"Bernini, Gian Lorenzo",/,sponsored,relations with Jesuits,/,175
