Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Formal_Full_Name,Normalization_Category
Index,Unmatched (Index),"Bellucci, Giovanni Battista",E21 Person,,,,B,Unmatched Index Entry,Giovanni Battista Bellucci,Person
Index,Unmatched (Index),"Bencovich, Federico",E21 Person,,,,B,Unmatched Index Entry,Federico Bencovich,Person
Index,Unmatched (Index),"Bentivoglio, Ippotilo",E21 Person,,,,B,Unmatched Index Entry,Ippotilo Bentivoglio,Person
Index,Unmatched (Index),"Bermis, Cardinal de",E21 Person,,,,B,Unmatched Index Entry,De Bermis,Person
Index,Unmatched (Index),Bernardine Baccinelli,E21 Person,,,,B,Unmatched Index Entry,Bernardine Baccinelli,Person
Index,Unmatched (Index),"Berreguete, Pedro",E21 Person,,,,B,Unmatched Index Entry,Pedro Berreguete,Person
Index,Unmatched (Index),"Berrettini, Pietro (Pietro da Cortona)",E21 Person,,,,B,Unmatched Index Entry,Pietro Berrettini,Person
Index,Unmatched (Index),"Bianconi, G. L.",E21 Person,,,,B,Unmatched Index Entry,G. L. Bianconi,Person
Index,Unmatched (Index),"Biffi, Giambattista",E21 Person,,,,B,Unmatched Index Entry,Giambattista Biffi,Person
Index,Unmatched (Index),"Bingley, Lord",E21 Person,,,,B,Unmatched Index Entry,Bingley,Person
Index,Unmatched (Index),"Blainville, Monsieur de",E21 Person,,,,B,Unmatched Index Entry,Monsieur de Blainville,Person
Index,Unmatched (Index),"Boccage, Mme de",E21 Person,,,,B,Unmatched Index Entry,De Boccage,Person
Index,Unmatched (Index),Bologna,E53 Place,,,,B,Unmatched Index Entry,Bologna,Place
Index,Unmatched (Index),Bombelli Sebastiano,E21 Person,,,,B,Unmatched Index Entry,Bombelli Sebastiano,Person
Index,Unmatched (Index),"Bonati, Giovanni",E21 Person,,,,B,Unmatched Index Entry,Giovanni Bonati,Person
Index,Unmatched (Index),"Boncampagni, Ugo (Pope Gregory XIII)",E21 Person,,,,B,Unmatched Index Entry,Ugo Boncampagni,Person
Index,Unmatched (Index),Bonfiglioli collection,E22 Man-Made Object,,,,B,Unmatched Index Entry,Bonfiglioli collection,Work
Index,Unmatched (Index),"Boni, Giacomo Antonio",E21 Person,,,,B,Unmatched Index Entry,Giacomo Antonio Boni,Person
Index,Unmatched (Index),Book illustration,E28 Conceptual Object,,,,B,Unmatched Index Entry,Book illustration,Work
Index,Unmatched (Index),Borghese Palace,E22 Man-Made Object,,,,B,Unmatched Index Entry,Palazzo Borghese,Place (Reclassified)
Index,Unmatched (Index),"Borghese, Camillo (Pope Paul V)",E21 Person,,,,B,Unmatched Index Entry,Camillo Borghese,Person
Index,Unmatched (Index),"Borgognone, Giacomo (Jacques Courtois)",E21 Person,,,,B,Unmatched Index Entry,Giacomo Borgognone,Person
Index,Unmatched (Index),"Borgognone, Guglielmo (Guillaume Courtois)",E21 Person,,,,B,Unmatched Index Entry,Guglielmo Borgognone,Person
Index,Unmatched (Index),"Boscarati, Felice",E21 Person,,,,B,Unmatched Index Entry,Felice Boscarati,Person
Index,Unmatched (Index),"Boscovich, P.",E21 Person,,,,B,Unmatched Index Entry,P. Boscovich,Person
Index,Unmatched (Index),"Bossuet, Jacques-Bénigne",E21 Person,,,,B,Unmatched Index Entry,Jacques-Bénigne Bossuet,Person
Index,Unmatched (Index),"Bottari, Giovanni",E21 Person,,,,B,Unmatched Index Entry,Giovanni Bottari,Person
Index,Unmatched (Index),"Bouchardon, Edmé",E21 Person,,,,B,Unmatched Index Entry,Edmé Bouchardon,Person
Index,Unmatched (Index),"Boucher, François",E21 Person,,,,B,Unmatched Index Entry,François Boucher,Person
Index,Unmatched (Index),"Bracci, Pietro",E21 Person,,,,B,Unmatched Index Entry,Pietro Bracci,Person
Index,Unmatched (Index),"Bracciano, Duke of",E21 Person,,,,B,Unmatched Index Entry,Of Bracciano,Person
Index,Unmatched (Index),"Bracciano, Paolo Giordano I Orsini, Duke of",E21 Person,,,,B,Unmatched Index Entry,"Paolo Giordano I Orsini, of Bracciano",Person
Index,Unmatched (Index),"Bracciano, Paolo Giordona II Orsini, Duke of",E21 Person,,,,B,Unmatched Index Entry,"Paolo Giordona II Orsini, of Bracciano",Person
Index,Unmatched (Index),"Bramante, Donato",E21 Person,,,,B,Unmatched Index Entry,Donato Bramante,Person
Index,Unmatched (Index),"Bramer, Leonard",E21 Person,,,,B,Unmatched Index Entry,Leonard Bramer,Person
Index,Unmatched (Index),"Brand, Johannes Christian",E21 Person,,,,B,Unmatched Index Entry,Johannes Christian Brand,Person
Index,Unmatched (Index),"Breughel, Abram",E21 Person,,,,B,Unmatched Index Entry,Abram Breughel,Person
Index,Unmatched (Index),"Breughel, Velvet",E21 Person,,,,B,Unmatched Index Entry,Velvet Breughel,Person
Index,Unmatched (Index),"Breuil, Toussaint du",E21 Person,,,,B,Unmatched Index Entry,Toussaint du Breuil,Person
Index,Unmatched (Index),"Breval, John",E21 Person,,,,B,Unmatched Index Entry,John Breval,Person
Index,Unmatched (Index),"Brienne, Lomenie de",E21 Person,,,,B,Unmatched Index Entry,Lomenie de Brienne,Person
Index,Unmatched (Index),"Brosses, Président Charles De",E21 Person,,,,B,Unmatched Index Entry,Charles De Brosses,Person
Index,Unmatched (Index),"Brugiori, Domenico",E21 Person,,,,B,Unmatched Index Entry,Domenico Brugiori,Person
Index,Unmatched (Index),"Brusasorci, Felice",E21 Person,,,,B,Unmatched Index Entry,Felice Brusasorci,Person
Index,Unmatched (Index),"Brydges, Grey",E21 Person,,,,B,Unmatched Index Entry,Grey Brydges,Person
Index,Unmatched (Index),"Brühl, Count",E21 Person,,,,B,Unmatched Index Entry,Brühl,Person
Index,Unmatched (Index),"Buckingham, Charles Villiers, Duke of",E21 Person,,,,B,Unmatched Index Entry,"Charles Villiers, of Buckingham",Person
Index,Unmatched (Index),"Buckingham, John Sheffield, Duke of",E21 Person,,,,B,Unmatched Index Entry,"John Sheffield, of Buckingham",Person
Index,Unmatched (Index),"Burlington, Lord",E21 Person,,,,B,Unmatched Index Entry,Burlington,Person
Index,Unmatched (Index),"Byng, Admiral",E21 Person,,,,B,Unmatched Index Entry,Admiral Byng,Person
Index,Unmatched (Index),"Cadani, Stefano",E21 Person,,,,C,Unmatched Index Entry,Stefano Cadani,Person
Index,Unmatched (Index),Caime,E21 Person,,,,C,Unmatched Index Entry,Caime,Person
Index,Unmatched (Index),"Camerata, Giuseppe",E21 Person,,,,C,Unmatched Index Entry,Giuseppe Camerata,Person
Index,Unmatched (Index),"Camerino, Giovanni Angelo da",E21 Person,,,,C,Unmatched Index Entry,Giovanni Angelo da Camerino,Person
Index,Unmatched (Index),"Canal, Gerolamo",E21 Person,,,,C,Unmatched Index Entry,Gerolamo Canal,Person
Index,Unmatched (Index),"Canale, Procuratore",E21 Person,,,,C,Unmatched Index Entry,Procuratore Canale,Person
Index,Unmatched (Index),Canaletto,E21 Person,,,,C,Unmatched Index Entry,Giovanni Antonio Canal,Person
Index,Unmatched (Index),Candiani,E21 Person,,,,C,Unmatched Index Entry,Candiani,Person
Index,Unmatched (Index),Canons (Duke of Chandos),E53 Place,,,,C,Unmatched Index Entry,Canons,Place
Index,Unmatched (Index),"Caprara, Marshal",E21 Person,,,,C,Unmatched Index Entry,Marshal Caprara,Person
Index,Unmatched (Index),Capuchins,E74 Group,,,,C,Unmatched Index Entry,Capuchins,Place
Index,Unmatched (Index),"Caraboli, Giacomo",E21 Person,,,,C,Unmatched Index Entry,Giacomo Caraboli,Person
Index,Unmatched (Index),"Carandini, Count Camillo",E21 Person,,,,C,Unmatched Index Entry,Camillo Carandini,Person
Index,Unmatched (Index),"Carandini, Marchesa Elisa",E22 Man-Made Object,,,,C,Unmatched Index Entry,Elisa Carandini,Person (Reclassified)
Index,Unmatched (Index),"Caravaggio, Michelangelo da",E21 Person,,,,C,Unmatched Index Entry,Michelangelo da Caravaggio,Person
Index,Unmatched (Index),"Carlisle, Earl of",E21 Person,,,,C,Unmatched Index Entry,Of Carlisle,Person
Index,Unmatched (Index),"Carlone, Gianandrea",E21 Person,,,,C,Unmatched Index Entry,Gianandrea Carlone,Person
Index,Unmatched (Index),"Carpegna, Count",E21 Person,,,,C,Unmatched Index Entry,Carpegna,Person
Index,Unmatched (Index),"Carpio, Marchese Del",E22 Man-Made Object,,,,C,Unmatched Index Entry,Del Carpio,Person (Reclassified)
Index,Unmatched (Index),"Carpioni, Giulio",E21 Person,,,,C,Unmatched Index Entry,Giulio Carpioni,Person
Index,Unmatched (Index),"Cars, Laurence",E21 Person,,,,C,Unmatched Index Entry,Laurence Cars,Person
Index,Unmatched (Index),"Casanova de Seingalt, Jacques",E21 Person,,,,C,Unmatched Index Entry,Jacques Casanova de Seingalt,Person
Index,Unmatched (Index),"Castiglione, Giovanni Benedetto",E21 Person,,,,C,Unmatched Index Entry,Giovanni Benedetto Castiglione,Person
Index,Unmatched (Index),"Castro, First and Second Wars of",E5 Event,,,,C,Unmatched Index Entry,"Castro, First and Second Wars of",Work
Index,Unmatched (Index),"Castro, Jacomo di",E21 Person,,,,C,Unmatched Index Entry,Jacomo di Castro,Person
Index,Unmatched (Index),Catherine the Great of Russia,E21 Person,,,,C,Unmatched Index Entry,Catherine the Great of Russia,Person
Index,Unmatched (Index),"Cattaneo, Giovanni de",E21 Person,,,,C,Unmatched Index Entry,Giovanni de Cattaneo,Person
Index,Unmatched (Index),"Cavagna, Giampaolo",E21 Person,,,,C,Unmatched Index Entry,Giampaolo Cavagna,Person
Index,Unmatched (Index),"Caylus, Comte de",E21 Person,,,,C,Unmatched Index Entry,Comte de Caylus,Person
Index,Unmatched (Index),"Celle, Georg Wilhelm Duke of",E21 Person,,,,C,Unmatched Index Entry,Georg Wilhelm of Celle,Person
Index,Unmatched (Index),"Cerato, Abate",E21 Person,,,,C,Unmatched Index Entry,Cerato,Person
Index,Unmatched (Index),"Ceva, Cardinal",E21 Person,,,,C,Unmatched Index Entry,Ceva,Person
Index,Unmatched (Index),"Chandos, Grey Brydges, 5th Lord",E21 Person,,,,C,Unmatched Index Entry,"Grey Brydges, 5th Chandos",Person
Index,Unmatched (Index),"Chandos, James Brydges, 1st Duke of",E21 Person,,,,C,Unmatched Index Entry,"James Brydges, 1st of Chandos",Person
Index,Unmatched (Index),"Chantelou, Paul-Fréart de",E21 Person,,,,C,Unmatched Index Entry,Paul-Fréart de Chantelou,Person
Index,Unmatched (Index),"Chardin, Jean Baptiste Siméon",E21 Person,,,,C,Unmatched Index Entry,Jean Baptiste Siméon Chardin,Person
Index,Unmatched (Index),Charles I of England,E21 Person,,,,C,Unmatched Index Entry,Charles I of England,Person
Index,Unmatched (Index),Charles II of England,E21 Person,,,,C,Unmatched Index Entry,Charles II of England,Person
Index,Unmatched (Index),Charles II of Spain,E53 Place,,,,C,Unmatched Index Entry,Charles II of Spain,Place
Index,Unmatched (Index),"Charles V, Holy Roman Emperor",E21 Person,,,,C,Unmatched Index Entry,Holy Roman Emperor Charles V,Person
Index,Unmatched (Index),Charles XII of Sweden,E21 Person,,,,C,Unmatched Index Entry,Charles XII of Sweden,Person
Index,Unmatched (Index),"Chi soffre, speri",E21 Person,,,,C,Unmatched Index Entry,Speri Chi soffre,Person
Index,Unmatched (Index),"Chiari, Giuseppe and Tommaso",E21 Person,,,,C,Unmatched Index Entry,Giuseppe and Tommaso Chiari,Person
