Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason
Manual,Unmatched (Manual),,,Barberini library,G147,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Basilica of Santa Cecilia in Bologna,G28,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Basilicas,G112,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Batlisheba Bathing,A43,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Battaria di Cusina,A44,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Battistela,G128,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Beatae Mariae Virginis Officium,A417,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Beggar holding a Rosary,A45,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bell Towers for St. Peter's Basilica (demolished),A418,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bensburg Castle,G15,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bergamasque community,G68,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Biblioceca Estense,G151,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Biblioteca Correr,G1,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Biblioteca Govemadva,G69,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bishop Harold von Hocheim being invested with the princedom by the Emperor in 1163,A46,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Boyle/Locke/Sydenham,A419,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Brutus killing Arruns,A47,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bust of Democritus,A48,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bust of Francis Bacon,A49,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bust of Paolo Renier,A50,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Bust of Phocion,A420,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Ca' Foscari,G29,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Caesar and the Corsairs of Cilicia,A52,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Caiano Ferdinand,R21,,name-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Cain and Abel,A53,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Calabrian national church,G9,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Camillo Gavassetti,R22,,name-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Campo di Rialto,G17,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Caprizi Copiosi di Figure,A421,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Capuchin church in Rome,G2,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Cardinal Francesco Barberini,A54,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Cardinal Mazarin in His Gallery,A55,,work-English_table.csv,Unmatched & Non-Q ID
