Name,QID,Source,Context,Match_Method
National Portrait Gallery,Q238587,List of Plates,"52 a P. Van Bleek: Owen McSwiny (National Portrait Gallery) b Canaletto, Cimaroli and Pittoni: Allegorical Tomb to the memory of Archbishop Tillotson (Peter Moores, Liverpool)",Exact Match
North Carolina Museum of Art,Q1459878,List of Plates,"45 Pompeo Batoni: The Triumph of Venice (Collection os the North 264 Carolina Museum of Art, Raleigh. Samuel H. Kress Collection)",Manual Correction
Oratorio,Q85477,Index,Location: Rome,Exact Match
Palazzo Buonaccorsi Gallery of Ancient Art,Q109732673,List of Plates,"33 a Solimena: Dido and Aeneas (formerly Palazzo Buonaccorsi, Macerata) 216",Manual Correction
Palazzo Ducale,Q1267721,Both,"42 a Tiepolo: Neptune paying homage to Venice (Palazzo Ducale, Venice)",Exact Match
Palazzo Pitti,Q29286,List of Plates,"38 a Sebastiano Ricci: Rape of Europa (Palazzo Pitti, Florence)",Exact Match
Palazzo Pitti,Q29286,List of Plates,"4 a Van Dyck: Cardinal Bentivoglio (Pitti, Florence)",Manual Correction
Palazzo Zenobio,Q3891097,Index,Location: Venice,Manual Correction
Palazzo dei Conservatori,Q64103,List of Plates,"(Palazzo dei Conservatori, Rome)",Exact Match
Pamfili palace (Piazza Navona),Q463400,Index,Location: ,Substring Match (piazza navona)
Pepoli palace,Q28772011,Index,Location: Bologna,Substitution Match
Pisani palace,Q55166916,Index,Location: Venice,Substitution Match
Pitti Palace,Q29286,Index,Location: Florence,Substitution Match
Riccardi palace,Q89522223,Index,Location: Florence,Manual Correction
Royal Collection,Q1459037,Index,Location: ,Exact Match
Sandi palace,Q18763351,Index,Location: Venice,Exact Match
Scuola Grande di San Rocco,Q1270723,Index,Location: Venice,Manual Correction
Uffizi Gallery,Q51252,List of Plates,"b G. M. Crespi: Girl at her toilet (Uffizi, Florence)",Manual Correction
Villa Borghese,Q3558478,List of Plates,"b Pietro da Cortona: Marcello Sacchetti (Villa Borghese, Rome)",Exact Match
Villa Pisani,Q514069,List of Plates,"44 Tiepolo: Glorification of the Pisani family (Villa Pisani, Stra)",Exact Match
Virginia Museum of Fine Arts Williams Fund,Q4013975,List of Plates,"23 a Michelangelo Cerquozzi: Women’s Bath (Incisa della Rocchetta, Rome) b Salvator Rosa: The Death of Regulus (Virginia Museum of Fine Arts Williams Fund)",Substring Match (virginia museum of fine arts)
Wallraf-Richartz Museum,Q700959,List of Plates,"54 Piazzetta: Idyll (Wallraf-Richartz Museum, Cologne)",Exact Match
Widmann palace,Q21198018,Index,Location: Venice,Substitution Match
