Head,Head_QID,Relation,Tail,Tail_QID,Source_Row
Triumph of The Name of Jesus,Q54647365,located_at,"Gesù, Rome",,20
"Modello for fresco on vault of S. Ignazio, Rome",,created_by,Andrea Pozzo,Q380103,21
"Modello for fresco on vault of S. Ignazio, Rome",,located_at,"Galleria Nazionale, Rome",Q772890,21
"Interior of S. Andrea al Quirinale, Rome",,created_by,Bernini,Q712397,22
Caricature of Cassiano dal Pozzo,,created_by,Bernini,Q712397,23
Caricature of Cassiano dal Pozzo,,located_at,"Museum Boy mans—van 104 Beuningen, Rotterdam",,23
Vincenzo Giustiniani,Q4013311,created_by,Claude Mellan,Q1274026,24
"Paolo Giordano Orsini, Duke of Bracciano",,created_by,Ottavio Leoni,Q389768,25
Rest on the Flight into Egypt,Q60469737,created_by,Pietro Testa,Q2155480,26
Marriage,Q26511045,created_by,Poussin,Q41554,27
Marriage,Q26511045,located_at,"Duke of Rutland, Belvoir Castle",,27
Moses trampling on Pharaoh’s crown,,created_by,Poussin,Q41554,28
Moses trampling on Pharaoh’s crown,,located_at,Louvre,Q908517,28
View of Delphi with,Q20274952,created_by,Claude,Q1274026,29
View of Delphi with,Q20274952,depicts,Delphi with,,29
Camillo Massimi,Q1081418,created_by,Velasquez,Q297,30
Camillo Massimi,Q1081418,located_at,"Ralph Bankes, Kingston Lacy",,30
Madonna of the Rosary with Saints Dominic and Catherine,,created_by,Sassoferrato,Q124886,31
Madonna of the Rosary with Saints Dominic and Catherine,,located_at,"S. Sabina, Rome",,31
Madonna and Child,Q106868029,created_by,Sassoferrato,Q124886,32
Madonna and Child,Q106868029,located_at,"Galleria Nazionale, Rome",Q772890,32
The artist with a group of friends,Q171861,created_by,Michelangelo Cerquozzi,Q979862,33
The artist with a group of friends,Q171861,located_at,"Kassel, Kunstsammlungen",,33
The Revolt of Masaniello,,created_by,Michelangelo Cerquozzi,Q979862,34
The Revolt of Masaniello,,located_at,"Galleria Spada, Rome",Q3757699,34
Women’s Bath,,created_by,Michelangelo Cerquozzi,Q979862,35
Women’s Bath,,located_at,"Incisa della Rocchetta, Rome",,35
The Death of Regulus,Q77877582,created_by,Salvator Rosa,Q359421,36
The Death of Regulus,Q77877582,located_at,Virginia Museum of Fine Arts Williams Fund,Q4013975,36
Fortune,Q20087469,created_by,Salvator Rosa,Q359421,37
Fortune,Q20087469,located_at,Duke of Beaufort,Q7585516,37
Public Felicity triumphant over Dangers,Q18572437,created_by,Orazio Gentileschi,Q367360,38
Public Felicity triumphant over Dangers,Q18572437,located_at,Louvre,Q908517,38
Cardinal Mazarin in his Gallery,,created_by,Nanteuil,Q1356084,39
Romulus and Remus. Detail from ceiling of gallery in Bibliothèque Nationale,,created_by,Romanelli,Q2983846,40
Romulus and Remus. Detail from ceiling of gallery in Bibliothèque Nationale,,located_at,formerly Palais Mazarin,,40
Charles I,Q36174,created_by,Francesco Fanelli,Q3749954,41
Charles I,Q36174,located_at,"Miss Daphne Ionides, London",,41
Louis XIV,Q5502515,created_by,Bernini,Q712397,42
Louis XIV,Q5502515,located_at,Versailles,Q2946,42
Death of Cleopatra,Q135892996,created_by,Guido Cagnacci,Q2449649,43
Death of Cleopatra,Q135892996,located_at,"Kunsthistorisches Museum, Vienna",Q95569,43
"The Elysian Fields from the opera La Monarchia Latina Trionfante, Vienna",,created_by,Burnacini,Q3836364,44
Fresco on staircase of Hampton Court Palace 200,,created_by,Antonio Verrio,Q2305594,45
Fresco on staircase of Hampton Court Palace 200,,located_at,reproduced by gracious permission of Her Majesty the Queen,,45
Jerome Bankes,Q76240509,created_by,Massimo Stanzione,Q982384,46
Jerome Bankes,Q76240509,located_at,"Ralph Bankes, Kingston Lacy",,46
Sir Thomas Baines,Q96091169,created_by,Carlo Dolci,Q503322,47
Sir Thomas Baines,Q96091169,located_at,"Fitzwilliam Museum, Cambridge",,47
Charles Fox,Q477723,created_by,Carlo Maratta,Q538998,48
Charles Fox,Q477723,located_at,The Earl of Ilchester,,48
"Sir Thomas Isham (Sir Gyles Isham, Bt, Lamport Hall) .",,created_by,Carlo Maratta,Q538998,49
The drunken Silenus,Q17652393,created_by,Ribera,Q297838,50
The drunken Silenus,Q17652393,located_at,"Museo di Capodimonte, Naples'",Q290549,50
The choice of Hercules,Q118993578,created_by,Paolo de Matteis,Q1851224,51
The choice of Hercules,Q118993578,located_at,"Temple Newsam, Leeds'",,51
Dido and Aeneas,Q28093447,created_by,Solimena,Q736065,52
Dido and Aeneas,Q28093447,located_at,"formerly Palazzo Buonaccorsi, Macerata",,52
Juan de Pareja,Q1352058,created_by,Velasquez,Q297,53
Juan de Pareja,Q1352058,located_at,"Metropolitan Museum, New York",Q160236,53
Aristotle contemplating the bust of Homer,,created_by,Rembrandt,Q5598,54
Aristotle contemplating the bust of Homer,,located_at,"Metropolitan Museum of Art, New York. Purchase, various funds and donors, 1961",,54
The Feast of Herod,Q27955591,created_by,Rubens,Q5599,55
The Feast of Herod,Q27955591,located_at,National Gallery of Scotland,Q214867,55
Grand Prince Ferdinand of Tuscany,,created_by,Francesco Petrucci,Q27507162,56
Girl at her toilet,Q18177817,created_by,G. M. Crespi,Q528620,57
Girl at her toilet,Q18177817,located_at,"Uffizi, Florence",,57
The Painter’s Family,Q23935763,created_by,G. M. Crespi,Q528620,58
The Painter’s Family,Q23935763,located_at,"Uffizi, Florence",,58
Detail from Fair at Poggio,,created_by,G. M. Crespi,Q528620,59
‘La Burla del Piovano Arlotto’,,created_by,Baldassare Franceschini,Q2403504,60
‘La Burla del Piovano Arlotto’,,located_at,"Uffizi, Florence",,60
Rape of Europa,Q18002417,created_by,Sebastiano Ricci,Q26878812,61
Rape of Europa,Q18002417,located_at,"Palazzo Pitti, Florence",,61
Pan and Syrinx,Q55412120,created_by,Sebastiano Ricci,Q26878812,62
Pan and Syrinx,Q55412120,located_at,"Palazzo Pitti, Florence",,62
Venus and Adonis,Q603703,created_by,Sebastiano Ricci,Q26878812,63
Venus and Adonis,Q603703,located_at,"Palazzo Pitti, Florence",,63
A Group of Musicians,,created_by,A. D. Gabbiani,Q1083096,64
A Group of Musicians,,located_at,"Palazzo Pitti, Florence",,64
"The stoning of Zechariah (Uffizi, Florence) ,",,created_by,GiannAntonio Fumiani,Q1432600,65
Neptune paying homage to Venice,Q47012750,created_by,Tiepolo,Q186202,66
Neptune paying homage to Venice,Q47012750,located_at,"Palazzo Ducale, Venice",,66
Allegory of Venice,Q50947952,created_by,Niccolo Bambini,Q1111424,67
Allegory of Venice,Q50947952,located_at,"Ca’ Pesaro, Venice",,67
Allegory of Venice,Q50947952,depicts,Venice,,67
Marriage Allegory of the Rezzonico family,,created_by,Tiepolo,Q186202,68
Marriage Allegory of the Rezzonico family,,located_at,"Ca Rezzonico, Venice",,68
Marriage Allegory of the Rezzonico family,,depicts,the Rezzonico family,,68
Glorification of the Pisani family,,created_by,Tiepolo,Q186202,69
Glorification of the Pisani family,,located_at,"Villa Pisani, Stra",Q514069,69
The Triumph of Venice,Q121493619,created_by,Pompeo Batoni,Q505613,70
The Triumph of Venice,Q121493619,located_at,"Collection os the North 264 Carolina Museum of Art, Raleigh. Samuel H. Kress Collection",,70
Pierre Motteux and his family,,created_by,Pellegrini,Q1358364,71
Pierre Motteux and his family,,located_at,British Museum,Q6373,71
An Operatic Rehearsal,,created_by,Marco Ricci,Q930162,72
An Operatic Rehearsal,,located_at,"Sir Watkin Williams-Wynn, Bt, St Asaph",,72
Flaminio Corner,Q3746370,created_by,Marco Pitteri,Q48879573,73
Flaminio Corner,Q3746370,located_at,from Giuseppe Angeli,Q378182,73
Zaccaria Sagredo (from B. Nazari),,created_by,Gian Antonio Faldoni,Q27493848,74
Zaccaria Sagredo (from B. Nazari),,located_at,"Museo Correr, Venice",,74
Carlo Lodoli,Q601642,created_by,Alessandro Longhi,Q1855242,75
Carlo Lodoli,Q601642,located_at,"Museo Correr, Venice",,75
Francesco Algarotti,Q439081,created_by,Anonymous,,76
Francesco Algarotti,Q439081,located_at,"Museo Correr, Venice",,76
Allegory of the Education of the Crown Prince of the Palatinate,,created_by,Pellegrini,Q1358364,77
Allegory of the Education of the Crown Prince of the Palatinate,,located_at,"Bayerischen Staatsgemaldesammlungen, Munich",,77
Allegory of the Education of the Crown Prince of the Palatinate,,depicts,the Education of the Crown Prince of the Palatinate,,77
Jupiter and Io,Q119637439,created_by,Amigoni,Q380897,78
Jupiter and Io,Q119637439,located_at,Moor Park,Q3862780,78
"Detail from fresco on ceiling of staircase in Residenz, Wurzburg",,created_by,Tiepolo,Q186202,79
"View from Badminton, 1748",,created_by,Canaletto,Q182664,80
"View from Badminton, 1748",,located_at,Duke of Beaufort,Q7585516,80
Owen McSwiny,Q5102690,created_by,P. Van Bleek,Q2079286,81
Owen McSwiny,Q5102690,located_at,National Portrait Gallery,Q238587,81
Allegorical Tomb to the memory of Archbishop Tillotson,,created_by,"Canaletto, Cimaroli and Pittoni",Q182664,82
Allegorical Tomb to the memory of Archbishop Tillotson,,located_at,"Peter Moores, Liverpool",,82
Marshal Schulenburg,,created_by,Piazzetta,Q10510932,83
Marshal Schulenburg,,located_at,"Castello Sforzesco, Milan",Q3662375,83
Sigismund Streit,Q90687,created_by,Amigoni,Q380897,84
Sigismund Streit,Q90687,located_at,"Gymnasium zu Grauen Kloster, Berlin",Q328971,84
Idyll,Q17324901,created_by,Piazzetta,Q10510932,85
Idyll,Q17324901,located_at,"Wallraf-Richartz Museum, Cologne",Q700959,85
Dedicatory frontispiece to Etchings,,created_by,Canaletto,Q182664,86
Village Scene,Q27897774,created_by,Marco Ricci (engraved Bartolozzi),Q930162,87
"Picture Exhibition at Church of S. Rocco, Venice",,created_by,Marieschi,Q2501578,88
"Final plate of Illustrations to Gerusalemme Liber ata, published by Albrizzi 1745, with portraits of Piazzetta and Albrizzi",,created_by,Piazzetta,Q10510932,89
"Frontispiece to Vol. 2 of Goldoni: Opere, published by Pasquali,",,created_by,Pietro Antonio Novelli,Q1718478,90
A. M. Zanetti the Elder with Marchese Gerini,,created_by,Giuseppe Zocchi,Q1528741,91
A. M. Zanetti the Elder with Marchese Gerini,,located_at,"Museo Correr, Venice",,91
G. M. Sasso,,created_by,Alessandro Longhi,Q1855242,92
G. M. Sasso,,located_at,"Museo Correr, Venice",,92
Amadeo Swajer,Q3613921,created_by,Canova,Q5547,93
Amadeo Swajer,Q3613921,located_at,"Museo Correr, Venice",,93
Teodoro Correr,Q2403974,created_by,Bernardino Castelli,Q3638702,94
Teodoro Correr,Q2403974,located_at,"Museo Correr, Venice",,94
Mourners at Tomb of Francesco Algarotti in Pisa,,created_by,G. Volpato,Q3107516,95
Banquet of Anthony and Cleopatra,,created_by,Tiepolo,Q186202,96
Banquet of Anthony and Cleopatra,,located_at,"Musée Cognacq-Jay, 360 Paris",,96
Banquet of Anthony and Cleopatra,,created_by,Tiepolo,Q186202,97
Banquet of Anthony and Cleopatra,,located_at,"National Gallery of Victoria, Felton Bequest, Melbourne",,97
"Prato della Valle, Padua",Q2636862,created_by,Canaletto,Q182664,98
Original proposals for reclaiming Prato della Valle,,created_by,Domenico Cerato,Q3712960,99
"View ofjohn Strange’s villa at Paese near Treviso [Private Collection, London)",,created_by,Francesco Guardi,Q318769,100
Joint caricature of Simonelli and Mola 400 [formerly Vitale Bloch collection),,created_by,Mola and Simonelli,Q1192715,101
"Mola painting the portrait of Pope Alexander VII [National Museum, Stockholm)",,created_by,Agostino Masucci,Q395680,102
"Mola painting the portrait of Pope Alexander VII [National Museum, Stockholm)",,depicts,"Pope Alexander VII [National Museum, Stockholm)",,102
Fame carrying the name of Louis XIV to the Temple of Immortality [Versailles),,created_by,Baldassare Franceschini,Q2403504,103
"Jupiter handed over by Cybele to the Corybantes to be fed [Staatsgalerie, Stuttgart)",,created_by,G. M. Crespi,Q528620,104
Three portraits of Doges [Private Collections),,created_by,Francesco Maggiotto,Q3080993,105
Maecenas presenting the Arts to Augustus,Q12123145,created_by,Tiepolo (engraved Leonardis),Q186202,106
