序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
172,"Bernini, Gian Lorenzo",,palace of Cardinal Flavio Chigi,
173,"Bernini, Gian Lorenzo",,patronage by Urban VIII,
174,"Bernini, Gian Lorenzo",,private theatre,
175,"Bernini, Gian Lorenzo",,relations with Jesuits,
176,"Bernini, Gian Lorenzo",,relief in St Peter's of Christ entrusting His flock to St Peter,
177,"Bernini, Gian Lorenzo",,resolution against by municipal authorities of Rome,
178,"Bernini, Gian Lorenzo",,"St Teresa, in S. Maria della Vittoria",
179,"Bernini, Gian Lorenzo",,Time unveiling Truth,
180,"Bernini, Gian Lorenzo",,tomb of Alexander VII,
181,"Bernini, Gian Lorenzo",,tomb of Countess Matilda,
182,"Bernini, Gian Lorenzo",,tomb of Urban VIII,
183,"Bernini, Gian Lorenzo",,varying fortunes of,
184,"Bernini, Gian Lorenzo",,visit to Paris,
185,"Bernini, Gian Lorenzo",,visit to Paris,French opposition to
186,"Bernini, Gian Lorenzo",,work in reign of Alexander VII,
187,"Bernini, Pietro",,,
188,"Bermis, Cardinal de",,,
189,"Berreguete, Pedro",,,
190,"Berrettini, Pietro (Pietro da Cortona)",,,
191,"Berrettini, Pietro (Pietro da Cortona)",,Adoration of the Trinity,
192,"Berrettini, Pietro (Pietro da Cortona)",,Allegory of Coral Fishing,
193,"Berrettini, Pietro (Pietro da Cortona)",,"altar in Chapel of S. Ignatius, Gesù",
194,"Berrettini, Pietro (Pietro da Cortona)",,Angels carrying the Instruments of the Passion,
195,"Berrettini, Pietro (Pietro da Cortona)",,Assumption of the Virgin,
196,"Berrettini, Pietro (Pietro da Cortona)",,Caesar restoring Cleopatra to her usurped Throne,
197,"Berrettini, Pietro (Pietro da Cortona)",,copying of Raphael and Titian for Sacchetti,
198,"Berrettini, Pietro (Pietro da Cortona)",,decoration of Barberini palace,
199,"Berrettini, Pietro (Pietro da Cortona)",,Finding of Romulus and Remus,
200,"Berrettini, Pietro (Pietro da Cortona)",,Forge of Vulcan,
201,"Berrettini, Pietro (Pietro da Cortona)",,frescoes in Pamfili palace,
202,"Berrettini, Pietro (Pietro da Cortona)",,Madonna and Child,
203,"Berrettini, Pietro (Pietro da Cortona)",,plans for Louvre,
204,"Berrettini, Pietro (Pietro da Cortona)",,refusal to choose own subjects,
205,"Berrettini, Pietro (Pietro da Cortona)",,Sacrifice of Polyxena,
206,"Berrettini, Pietro (Pietro da Cortona)",,St Philip in Ecstasy,
207,"Berrettini, Pietro (Pietro da Cortona)",,Scenes from the Aeneid,
208,"Berrettini, Pietro (Pietro da Cortona)",,Sibyl announcing the Birth of Christ,
209,"Berrettini, Pietro (Pietro da Cortona)",,theatre in Barberini palace,
210,"Berrettini, Pietro (Pietro da Cortona)",,Triumph of Bacchus,
211,"Berrettini, Pietro (Pietro da Cortona)",,work for Sacchetti,
212,"Berrettini, Pietro (Pietro da Cortona)",,work in Chiesa Nuova,
213,"Berrettini, Pietro (Pietro da Cortona)",,work in Pitti palace,
214,"Berrettini, Pietro (Pietro da Cortona)",,Xenophon sacrificing to Diana,
215,"Berrettoni, Niccolò",,,
216,"Bertos, Francesco",,,
217,"Bettinelli, Saverio",,,
218,"Bettinelli, Saverio",,Dell'entusiasmo per le Belle Arti,
219,"Bianconi, G. L.",,,
220,"Bianchi, Isidoro",,,
221,"Biffi, Giambattista",,,
222,"Bigari, Vittorio",,,
223,"Bigari, Vittorio",,"work in Archbishop's Palace, Ferrara",
224,"Bingley, Lord",,,
225,"Bizoni, Bernardo",,,
226,"Blainville, Monsieur de",,,
227,"Blunt, Sir Anthony",,,
228,"Boccage, Mme de",,,
229,Bologna,,,
230,Bologna,,senatorial families,
231,Bombelli Sebastiano,,,
232,Bombelli Sebastiano,,portraits of Stefano Conti and his family,
233,"Bonati, Giovanni",,,
234,"Boncampagni, Ugo (Pope Gregory XIII)",,,
235,Bonfiglioli collection,Bologna,,
236,"Boni, Giacomo Antonio",,,
237,"Boni, Giacomo Antonio",,Virgil 'portrait' for Prince Eugene of Savoy,
