序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
200,"Poussin, Nicolas",,Assumption of the Virgin,
201,"Poussin, Nicolas",,Aurora and Cephalus,
202,"Poussin, Nicolas",,Bacchanals,
203,"Poussin, Nicolas",,Camillus handing the Schoolmaster of the Falerii to his Pupils,
204,"Poussin, Nicolas",,Capture of Jerusalem,
205,"Poussin, Nicolas",,Capture of Jerusalem,second version
206,"Poussin, Nicolas",,Dance of Human Life,
207,"Poussin, Nicolas",,Death of Germanicus,
208,"Poussin, Nicolas",,Diana and Endymion,
209,"Poussin, Nicolas",,Funeral of Phocion,
210,"Poussin, Nicolas",,Holy Family with St Catherine,
211,"Poussin, Nicolas",,illustrations to Cassiano dal Pozzo's edition of Leonardo's Trattato della pittura,
212,"Poussin, Nicolas",,Inspiration du Poète,
213,"Poussin, Nicolas",,King Midas,
214,"Poussin, Nicolas",,Landscape with Man fleeing from Serpent,
215,"Poussin, Nicolas",,Landscape with St John,
216,"Poussin, Nicolas",,Landscape with St Matthew,
217,"Poussin, Nicolas",,Landscape with Woman washing her Feet,
218,"Poussin, Nicolas",,Mars and Venus,
219,"Poussin, Nicolas",,Martyrdom of St Erasmus,
220,"Poussin, Nicolas",,Massacre of the Innocents,
221,"Poussin, Nicolas",,Moses changing Aaron's Rod into a Serpent,
222,"Poussin, Nicolas",,Moses trampling on Pharaoh's Crown,
223,"Poussin, Nicolas",,Plague at Ashdod,
224,"Poussin, Nicolas",,pressure on to return to France,
225,"Poussin, Nicolas",,Rebecca and Eliezer,
226,"Poussin, Nicolas",,Rest on the Flight into Egypt,
227,"Poussin, Nicolas",,Sacrifice of Noah,
228,"Poussin, Nicolas",,Samson,
229,"Poussin, Nicolas",,Seven Sacraments,
230,"Poussin, Nicolas",,Spring,
231,"Poussin, Nicolas",,Tempest with Pyramus and Thisbe,
232,"Poussin, Nicolas",,Triumph of Neptune and Amphitrite,
233,"Poussin, Nicolas",,Truth uncovered by Time,
234,"Poussin, Nicolas",,Virgin protecting the City of Spoleto,
235,"Powis, Lord",,,
236,"Pozzi, Luigi",,,
237,"Pozzo, Andrea",,,
238,"Pozzo, Andrea",,work in S. Ignazio,
239,"Pozzo, Carlo Antonio dal",,,
240,"Pozzo, Cassiano dal",,,
241,"Pozzo, Cassiano dal",,and Barberini,
242,"Pozzo, Cassiano dal",,and Bernini,
243,"Pozzo, Cassiano dal",,and Duquesnoy,
244,"Pozzo, Cassiano dal",,and Pietro da Cortona,
245,"Pozzo, Cassiano dal",,and Poussin,
246,"Pozzo, Cassiano dal",,and Testa,
247,"Pozzo, Cassiano dal",,and Vouet,
248,"Pozzo, Cassiano dal",,Bernini caricature,
249,"Pozzo, Cassiano dal",,edition of Leonardo's Trattato della pittura,
250,"Pozzo, Cassiano dal",,influence on artists,
251,"Pozzo, Cassiano dal",,interest in archaeology,
252,"Pozzo, Cassiano dal",,interest in Venetian painting,
253,"Pozzo, Cassiano dal",,museum,
254,"Pozzo, Cassiano dal",,Museum Chartaceum,
255,"Pozzo, Cassiano dal",,religious views,
256,"Pozzo, Cassiano dal",,scientific interests,
257,"Pozzo, Cassiano dal",,situation after death of Urban VIII,
258,"Pozzo, Cassiano dal",,visit to Paris with Cardinal Francesco Barberini,
259,"Prati, Monsignor Ottaviano",,,
260,"Preti, Mattia",,,
261,"Preti, Mattia",,Beheading of St Paul,
262,"Preti, Mattia",,Crucifixion of St Peter,
263,"Preti, Mattia",,Gaspar Roomer and,
264,"Preti, Mattia",,Marriage Feast at Cana,
265,"Preti, Mattia",,Martyrdom of St Bartholomew,
266,Prices paid to artists,,,
267,"Procaccini, Andrea",,,
268,"Procaccini, Ercole",,,
269,"Professional classes, patronage by",,in Italian provinces in 17th century,
270,Provincial centres of art patronage,,in 17th century in Italy,
271,Provincial centres of art patronage,,neglect of Roman painting,
272,Publishers in Venice,,,
273,"Pufendorf, Samuel",,,
274,"Puget, Pierre",,,
275,"Puget, Pierre",,Assumption of the Virgin,
276,"Pulzone, Scipione",,,
